date,ward,precinct,race,type,candidate,votes
2019-03-09,03,04,PRES OF BOA DEM,ABSENTEE,LEWIS REED,2
2019-03-09,03,04,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,03,04,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,03,04,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,03,04,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,03,04,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,03,04,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,03,04,PRES OF BOA DEM,Total,JAMILAH NASHEED,45
2019-03-09,03,04,PRES OF BOA DEM,Total,MEGAN GREEN,7
2019-03-09,03,04,PRES OF BOA DEM,Total,LEWIS REED,28
2019-03-09,03,05,PRES OF BOA DEM,Polling,JAMILAH NASHEED,42
2019-03-09,03,05,PRES OF BOA DEM,Polling,MEGAN GREEN,6
2019-03-09,03,05,PRES OF BOA DEM,Polling,LEWIS REED,14
2019-03-09,03,05,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,3
2019-03-09,03,05,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,0
2019-03-09,03,05,PRES OF BOA DEM,ABSENTEE,LEWIS REED,2
2019-03-09,03,05,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,03,05,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,03,05,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,03,05,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,03,05,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,03,05,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,03,05,PRES OF BOA DEM,Total,JAMILAH NASHEED,45
2019-03-09,03,05,PRES OF BOA DEM,Total,MEGAN GREEN,6
2019-03-09,03,05,PRES OF BOA DEM,Total,LEWIS REED,16
2019-03-09,03,06,PRES OF BOA DEM,Polling,JAMILAH NASHEED,33
2019-03-09,03,06,PRES OF BOA DEM,Polling,MEGAN GREEN,4
2019-03-09,03,06,PRES OF BOA DEM,Polling,LEWIS REED,27
2019-03-09,03,06,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,4
2019-03-09,03,06,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,1
2019-03-09,03,06,PRES OF BOA DEM,ABSENTEE,LEWIS REED,7
2019-03-09,03,06,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,03,06,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,03,06,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,03,06,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,03,06,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,03,06,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,03,06,PRES OF BOA DEM,Total,JAMILAH NASHEED,37
