stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
9226,9226,NATURAL BRIDGE @ NORMANDY MIDDLE SCHOOL EB,NEAR SIDE NATURAL BRIDGE @ NORMANDY MIDDLE SCHOOL EB,38.707271,-90.308428
9916,9916,OLD HALLS FERRY @ WHISPER LAKE SB,NEAR SIDE OLD HALLS FERRY @ WHISPER LAKE SB,38.792003,-90.269575
10090,10090,CLARKSON @ LEIMAN NB,NEAR SIDE CLARKSON @ LEIMAN NB,38.638771,-90.569857
12956,12956,ST. LOUIS @ 12TH STREET WB,FAR SIDE ST. LOUIS @ 12TH STREET WB,38.621781,-90.150329
11695,11695,MAIN @ LINCOLN NB,NEAR SIDE MAIN @ LINCOLN NB,38.633929,-90.027842
12781,12781,45TH STREET @ CHILDS SB,FAR SIDE 45TH STREET @ CHILDS SB,38.647669,-90.103094
2468,2468,WESTPORT PLAZA @ WESTLINE INDUSTRIAL WB,FAR SIDE WESTPORT PLAZA @ WESTLINE INDUSTRIAL WB,38.701341,-90.443542
10102,10102,CLARKSON @ DOWNALL GREEN SB,NEAR SIDE CLARKSON @ DOWNALL GREEN SB,38.617258,-90.584636
9415,9415,UNION @ GREENPARK NB,NEAR SIDE UNION @ GREENPARK NB,38.523165,-90.318985
10084,10084,CLARKSON @ CLAYTON NB,FAR SIDE CLARKSON @ CLAYTON NB,38.605561,-90.585570
15192,15192,COMPTON @ SAMUEL SHEPARD SB,NEAR SIDE COMPTON @ SAMUEL SHEPARD SB,38.638436,-90.224735
