date,ward,precinct,race,type,candidate,votes
2015-04-07,03,04,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,03,04,PRES OF BOA,Total,LEWIS REED,18
2015-04-07,03,04,PRES OF BOA,Total,ERIK SHELQUIST,0
2015-04-07,03,04,PRES OF BOA,Total,JEFFREY SCHAEFER,1
2015-04-07,03,05,PRES OF BOA,Polling,LEWIS REED,33
2015-04-07,03,05,PRES OF BOA,Polling,ERIK SHELQUIST,0
2015-04-07,03,05,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
2015-04-07,03,05,PRES OF BOA,ABSENTEE,LEWIS REED,7
2015-04-07,03,05,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,03,05,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,03,05,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,03,05,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,03,05,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,03,05,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,03,05,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,03,05,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,03,05,PRES OF BOA,Total,LEWIS REED,40
2015-04-07,03,05,PRES OF BOA,Total,ERIK SHELQUIST,0
2015-04-07,03,05,PRES OF BOA,Total,JEFFREY SCHAEFER,0
2015-04-07,03,06,PRES OF BOA,Polling,LEWIS REED,62
2015-04-07,03,06,PRES OF BOA,Polling,ERIK SHELQUIST,1
2015-04-07,03,06,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
2015-04-07,03,06,PRES OF BOA,ABSENTEE,LEWIS REED,8
2015-04-07,03,06,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,03,06,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,03,06,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,03,06,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,03,06,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,03,06,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,03,06,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,03,06,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,03,06,PRES OF BOA,Total,LEWIS REED,70
2015-04-07,03,06,PRES OF BOA,Total,ERIK SHELQUIST,1
2015-04-07,03,06,PRES OF BOA,Total,JEFFREY SCHAEFER,0
2015-04-07,03,07,PRES OF BOA,Polling,LEWIS REED,60
2015-04-07,03,07,PRES OF BOA,Polling,ERIK SHELQUIST,1
2015-04-07,03,07,PRES OF BOA,Polling,JEFFREY SCHAEFER,2
2015-04-07,03,07,PRES OF BOA,ABSENTEE,LEWIS REED,3
2015-04-07,03,07,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,03,07,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,03,07,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,03,07,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,03,07,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,03,07,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,03,07,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,03,07,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,03,07,PRES OF BOA,Total,LEWIS REED,63
2015-04-07,03,07,PRES OF BOA,Total,ERIK SHELQUIST,1
2015-04-07,03,07,PRES OF BOA,Total,JEFFREY SCHAEFER,2
2015-04-07,03,08,PRES OF BOA,Polling,LEWIS REED,25
2015-04-07,03,08,PRES OF BOA,Polling,ERIK SHELQUIST,1
2015-04-07,03,08,PRES OF BOA,Polling,JEFFREY SCHAEFER,1
2015-04-07,03,08,PRES OF BOA,ABSENTEE,LEWIS REED,9
2015-04-07,03,08,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,03,08,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,03,08,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,03,08,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,03,08,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,03,08,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,03,08,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,03,08,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,03,08,PRES OF BOA,Total,LEWIS REED,34
2015-04-07,03,08,PRES OF BOA,Total,ERIK SHELQUIST,1
2015-04-07,03,08,PRES OF BOA,Total,JEFFREY SCHAEFER,1
